,ID,Name,L2FC,p-value,L2FC,p-value,L2FC,p-value,L2FC,p-value,L2FC,p-value,L2FC,p-value,L2FC,p-value,L2FC,p-value,L2FC,p-value
61,ENSG00000144674,GOLGA4,0.72,5e-01,-0.74,6e-01,-1.06,5e-01,0.22,1e+00,1.59,7e-02,-0.80,7e-01,-0.27,1e+00,-3.29,3e-01,-0.10,1e+00
62,ENSG00000147162,OGT,0.72,5e-01,-0.39,1e+00,-0.72,9e-01,0.25,1e+00,1.55,8e-02,-0.41,1e+00,0.20,1e+00,-3.59,3e-01,-1.11,6e-02
63,ENSG00000196628,TCF4,0.72,5e-01,-6.17,4e-15,-1.01,6e-01,0.87,7e-02,1.24,2e-01,-1.99,1e-02,0.11,1e+00,-3.89,3e-01,-0.00,1e+00
64,ENSG00000130522,JUND,0.71,5e-01,0.38,8e-01,1.17,4e-02,-0.28,1e+00,-0.82,7e-01,-0.22,1e+00,-0.10,1e+00,-4.27,3e-01,-1.69,4e-04
65,ENSG00000197903,HIST1H2BK,0.71,5e-01,-2.67,7e-05,-1.38,2e-01,1.40,1e-04,-1.52,4e-01,-1.74,4e-02,1.13,4e-01,-3.83,3e-01,-1.31,2e-02
66,ENSG00000116741,RGS2,0.71,5e-01,-2.11,2e-03,0.30,1e+00,0.78,1e-01,-0.47,1e+00,-0.75,7e-01,0.12,1e+00,-4.62,3e-01,-0.53,6e-01
67,ENSG00000198502,HLA-DRB5,0.71,5e-01,-5.19,5e-13,1.36,1e-02,0.38,8e-01,-0.97,7e-01,-3.23,1e-05,0.39,1e+00,-3.55,3e-01,-0.34,8e-01
68,ENSG00000167615,LENG8,0.70,5e-01,-0.56,8e-01,-0.14,1e+00,0.11,1e+00,1.63,6e-02,-0.81,7e-01,0.18,1e+00,-2.45,5e-01,-0.96,1e-01
69,ENSG00000003756,RBM5,0.70,5e-01,-1.17,2e-01,-0.77,8e-01,0.37,8e-01,1.95,1e-02,-0.74,7e-01,-0.31,1e+00,-3.61,3e-01,-0.60,5e-01
70,ENSG00000107290,SETX,0.70,5e-01,-0.91,4e-01,-0.14,1e+00,0.23,1e+00,2.02,1e-02,-0.86,6e-01,-0.32,1e+00,-2.54,5e-01,-0.98,1e-01
71,ENSG00000204257,HLA-DMA,0.69,5e-01,-4.01,3e-09,0.44,9e-01,0.71,2e-01,-0.16,1e+00,-2.15,5e-03,0.45,1e+00,-4.43,3e-01,-0.19,1e+00
72,ENSG00000135968,GCC2,0.67,5e-01,-0.39,1e+00,-0.25,1e+00,0.04,1e+00,1.37,1e-01,0.04,1e+00,-0.26,1e+00,-3.73,3e-01,-0.71,3e-01
73,ENSG00000169442,CD52,0.67,6e-01,-1.03,2e-01,0.28,1e+00,0.66,3e-01,-1.92,3e-01,-0.62,7e-01,0.64,1e+00,-4.55,3e-01,-0.94,9e-02
74,ENSG00000124151,NCOA3,0.65,6e-01,-2.38,4e-04,-0.52,1e+00,1.02,2e-02,0.95,3e-01,-1.91,2e-02,-0.07,1e+00,-5.48,3e-01,-0.34,9e-01
75,ENSG00000105369,CD79A,0.64,6e-01,-5.27,2e-13,0.65,7e-01,0.90,5e-02,-1.01,7e-01,-1.53,9e-02,0.43,1e+00,-4.36,3e-01,-0.57,5e-01
76,ENSG00000227468,AL928742.12,0.64,6e-01,-6.21,1e-14,-3.24,2e-05,1.12,6e-03,-1.63,4e-01,-4.14,1e-07,1.15,3e-01,-4.29,3e-01,0.34,7e-01
77,ENSG00000116731,PRDM2,0.64,6e-01,-1.46,6e-02,-0.29,1e+00,0.85,8e-02,0.26,9e-01,-1.04,4e-01,-0.09,1e+00,-4.02,3e-01,-0.27,1e+00
78,ENSG00000132510,KDM6B,0.64,6e-01,0.06,1e+00,1.22,3e-02,-0.45,8e-01,0.89,3e-01,-0.28,1e+00,-0.35,1e+00,-3.35,3e-01,-1.55,4e-03
